"InfluencerStandardized","standardizedCount","influencerList","platform"
"undefined",262," ???, -, --, :, ?, ??, ??????????????, ., .., ..., ...., ........, @, /, =, 🏴, 0800-0113, 1, 113, 13, 2, 3, 433, 433., 6, 678, 8, Косово је Србија!!!!!!!, x, X, 433 nl, 433 NL, 433nl, 433NL, f1, F1, Me, o, xx, bk_.010, bk._010, C, @jk, ap, B, CG5, CW, DT023, fa, fr1908, Gz.14, H, Hj, in, j´h, j7, je, jn, K2, km, N.M, r9, rj_2010, rl, s, s.0181p, ss, T41, T5G, wd 40, z","tiktok_account"
"zaargoedemans",146,"zaar goedemans, Zaar goedemans, Zaar Goedemans, zaar.goedemans, zaargoedemans, Zaargoedemans, Zaargoedemans., zaar goedmans, zaargoedmans, Zaargoedmans, zaar goedeman, zaargoedeman, zaargoedenmans, saargoedemans, Zaargoedemands, zaargoedsmans, zaargroedemans","tiktok_account"
"feyenoord",128,"@feyenoord, feyenoord, Feyenoord, Feyenoord., feynoord, Feyenoordv1","tiktok_account"
"jadeanna",125,"@jadeanna, jade anna, Jade anna, Jade Anna, Jade ANNA, Jade Anna., Jade-anna, Jade-Anna., jadeanna, Jadeanna, jadeannaa, yade anna","tiktok_account"
"enzoknol",43,"enzo knol, Enzo knol, Enzo Knol, enzoknol, Enzoknol, ENZOKNOL2, enzo kno, Enzosnol","tiktok_account"
"duncantromp",39,"@duncantromp, duncan tromp, Duncan tromp, Duncan Tromp, Duncan Tromp., duncantromp, Duncantromp, Ducan Tromp, ducantromp, Duncan trump, Duncantrump, duncen tromp, Duncen tromp, duncantromph","tiktok_account"
"mrbeast",39,"mr beast, mr Beast, Mr beast, mr beast2, mr beast3, mr. beast, mr.beast, Mr.beast, mrbeast, Mrbeast, MrBeast, MRBEAST, Mrbeast., mrbeast6000, mr baest","tiktok_account"
"bankzitters",38,"bankzitters, Bankzitters, Bankzitters., bankziters, bnkzitters","tiktok_account"
"nee",34,"nee, Nee, NEE, nba, Nba, NBA, nej, noa, Noa, NEY., Nhl, nvt","tiktok_account"
"vrienden",31,"vrienden, Vrienden, vriendin, Vriendin, vriend 1, vriend 2","tiktok_account"
"realmadrid",29,"@realmadrid, real madrid, Real madrid, Real Madrid, REAL MADRID, Real madrid., realmadrid, reamadrid","tiktok_account"
"espn",28,"espn, Espn, ESPN, espn nl, Espn nl, Espnnl, espnl","tiktok_account"
"rhodekok",27,"rhode ko0k, rhode kok, Rhode kok, Rhode Kok, Rhode kok., rhodekok, Rhodekok, Rhodé kok, Rhodé Kok, Rhodè kok, rhodeekok","tiktok_account"
"mezelf",25,"`mezelf, mezelf, Mezelf, myself, Mexelf, myzelf","tiktok_account"
"katiefang",22,"katie fang, Katie fang, Katie Fang, katiefang, Katiefang, Katiefang., Katie Lang.","tiktok_account"
"taylorswift",19,"@taylorswift, taylor swift, Taylor swift, Taylor Swift, Taylor Swift., taylorswift, Taylorswift, TaylorSwift.","tiktok_account"
"idk",18,"idk, ik, Ik, kim k, Kim k, rijk, Nick., Rick","tiktok_account"
"isae",17,"@ISAE, isae, Isae, ISAE, isea, Islam","tiktok_account"
"touzani",17,"@touzani, touzani, Touzani, Touzani., tuzani","tiktok_account"
"khabylame",17,"khaby lame, Khaby lame, Khaby Lame, Khaby Lame., khabylame, Khabylame, khabe lame, Khabe lame, khabi lame, Khaby lamé","tiktok_account"
"ronaldo",17,"ronaldo, Ronaldo, RONALDO, Ronaldo., roanldo9","tiktok_account"
"championsleague",16,"champions league, Champions league, Champions League, Champions league., championsleague, champions leauge, Champions leaugue","tiktok_account"
"fortnite",15,"fortnite, Fortnite, ogfortnite","tiktok_account"
"mdemma",15,"mdemma, Mdemma, MdEmma, MDemma, MDEMMA","tiktok_account"
"kyliejenner",14,"@kyliejenner, kylie jenner, Kylie jenner, Kylie Jenner, kyliejenner","tiktok_account"
"weetikniet",14,"weet ik niet, Weet ik niet, WEET IK NIET, weet niet","tiktok_account"
"gio",13,"gio, Gio, gino, Milo., Lilo, niro, rico","tiktok_account"
"ishowspeed",13,"ishowspeed, Ishowspeed, IshowSpeed","tiktok_account"
"straykids",12,"@straykids, @Straykids, stray kids, Stray kids, Stray Kids., straykids, Straykids","tiktok_account"
"billieeilish",12,"billie eilish, Billie eilish, Billie Eilish, Billie Eilish., billieeilish, Billieeilish, Billie eilisch","tiktok_account"
"marijnkuipers",12,"marijn kuipers, Marijn kuipers, marijnkuipers, Marijnkuipers, marijnkijpers","tiktok_account"
"qucee",12,"qucee, Qucee, Qucee., qusee","tiktok_account"
"geen",11,"geen, Geen, Eten.","tiktok_account"
"geenidee",11,"geen idee, Geen idee","tiktok_account"
"bts",10,"@bts, bts, Bts, BTS, 2010_bmw, Bmw, BMW, bcc","tiktok_account"
"ajax",10,"ajax, Ajax, Jay","tiktok_account"
"fatoemakers",10,"fatoemakers, Fatoemakers, fattoemakers","tiktok_account"
"lieszhara",10,"lies zhara, Lies zhara, lies_zhara, lieszahra","tiktok_account"
"messi",10,"messi, Messi, Messi., 02mashi, mashi","tiktok_account"
"myronkoops",10,"myron koops, Myron koops, Myron Koops., myronkoops, Myronkoops, MyronKoops","tiktok_account"
"samandcolby",10,"sam and colby, sam and Colby, Sam and Colby, Sam and Colby., samandcolby","tiktok_account"
"barcelona",9,"barcelona, Barcelona, barcalona","tiktok_account"
"bender",9,"bender, Bender, fener, bencer","tiktok_account"
"charlidamelio",9,"Charli D'amelio, Charli D'Amelio, charli damelio, Charli damelio, charlidamelio, Charlidamelio, Charli damilio, charli demlio, Charli Dmelio","tiktok_account"
"vriendinnen",9,"vriendinnen, Vriendinnen, Vriendinnen.","tiktok_account"
"apson",8,"apson, Apson, jason","tiktok_account"
