username,declared_video_count,actual_video_count
espn,36340,1235
nee,0,982
billieeilish,70,942
bts,0,906
messi,4,885
straykids,0,842
bankzitters,278,840
barcelona,295,822
realmadrid,2382,806
ronaldo,3,805
championsleague,1767,787
fortnite,939,777
charlidamelio,2846,764
gio,23,730
samandcolby,413,691
mrbeast,398,690
feyenoord,1188,671
ajax,5,627
ishowspeed,27,606
taylorswift,71,508
appelkaas,4389,499
khabylame,0,455
geen,0,370
jadeanna,2600,293
kyliejenner,504,203
marijnkuipers,1321,188
miakhalifa,722,172
apsonarmy,677,159
rhodekok,1012,154
kleinejohn,453,122
duncantromp,674,88
myronkoops,441,81
qucee,332,59
stijnsaman,676,58
vrienden,0,32
enzoknol,135,21
touzani,6,20
isae,8,20
royalistiq,50,15
fatoemakers,0,6
vriendinnen,2,1
geenidee,0,1
zaargoedemans,0,0
weetikniet,0,0
katiefang,0,0
lieszhara,2,0
