username,followers_count
charlidamelio,157373715
mrbeast,115046916
billieeilish,71291000
kyliejenner,56928818
realmadrid,56424255
espn,52059184
championsleague,48251481
ishowspeed,40750692
miakhalifa,38999928
taylorswift,32679787
fortnite,16367918
ronaldo,4011966
samandcolby,3775312
feyenoord,1987007
jadeanna,1808030
apsonarmy,1657307
enzoknol,1391792
rhodekok,1262503
duncantromp,1081751
qucee,1009043
myronkoops,880748
stijnsaman,781065
marijnkuipers,771621
bankzitters,748166
appelkaas,547936
kleinejohn,446376
gio,410478
royalistiq,208618
messi,15752
barcelona,10245
zaargoedemans,2428
straykids,1095
ajax,952
bts,727
khabylame,384
lieszhara,146
nee,100
isae,86
geen,51
fatoemakers,41
vrienden,39
touzani,24
geenidee,18
vriendinnen,15
weetikniet,9
katiefang,7
