username,likes_count
charlidamelio,11872152142
espn,7165417847
championsleague,1846310129
kyliejenner,1522253801
realmadrid,1315022930
mrbeast,1126211146
miakhalifa,649912585
billieeilish,467974156
ishowspeed,307097955
taylorswift,248003453
jadeanna,157619196
fortnite,155613825
apsonarmy,80069753
rhodekok,78822483
duncantromp,69149403
marijnkuipers,50109105
feyenoord,40893188
stijnsaman,40545717
appelkaas,28168272
bankzitters,25362845
myronkoops,23814332
qucee,22432844
samandcolby,20568963
enzoknol,20432411
kleinejohn,15728122
gio,3368657
ronaldo,1922028
royalistiq,1310937
barcelona,227875
messi,17571
isae,842
ajax,208
lieszhara,114
touzani,41
nee,21
vriendinnen,16
bts,0
geen,0
fatoemakers,0
straykids,0
vrienden,0
weetikniet,0
katiefang,0
khabylame,0
zaargoedemans,0
geenidee,0
