_id,total_videos,videos_with_hashtag_names,videos_with_hashtag_info,videos_with_description,videos_with_voice_to_text,videos_with_video_label_content,videos_with_all_fields,username,pct_with_hashtag_names,pct_with_hashtag_info,pct_with_description,pct_with_voice_to_text,pct_with_video_label_content,pct_with_all_fields
ishowspeed,606,402,400,429,62,5,1,ishowspeed,66.33663366336634,66.006600660066,70.79207920792079,10.231023102310232,0.825082508250825,0.16501650165016502
espn,1235,1147,1110,1233,639,8,2,espn,92.8744939271255,89.87854251012146,99.83805668016194,51.740890688259114,0.6477732793522267,0.16194331983805668
nee,982,581,594,725,5,0,0,nee,59.164969450101836,60.4887983706721,73.82892057026477,0.5091649694501018,0,0
billieeilish,942,687,681,795,24,0,0,billieeilish,72.92993630573248,72.29299363057325,84.39490445859873,2.547770700636943,0,0
bts,906,530,532,637,16,0,0,bts,58.498896247240616,58.719646799117,70.30905077262693,1.7660044150110374,0,0
messi,885,295,279,368,12,0,0,messi,33.33333333333333,31.52542372881356,41.5819209039548,1.3559322033898304,0,0
straykids,842,620,627,712,17,0,0,straykids,73.63420427553444,74.46555819477435,84.56057007125891,2.019002375296912,0,0
bankzitters,840,665,657,787,123,0,0,bankzitters,79.16666666666666,78.21428571428571,93.69047619047619,14.642857142857144,0,0
barcelona,822,336,311,394,11,0,0,barcelona,40.87591240875913,37.8345498783455,47.93187347931874,1.338199513381995,0,0
realmadrid,806,359,356,462,17,0,0,realmadrid,44.5409429280397,44.168734491315135,57.32009925558312,2.109181141439206,0,0
ronaldo,805,312,319,380,10,0,0,ronaldo,38.75776397515528,39.62732919254658,47.20496894409938,1.2422360248447204,0,0
championsleague,787,576,545,625,47,0,0,championsleague,73.18932655654383,69.25031766200762,79.41550190597204,5.972045743329097,0,0
fortnite,777,325,319,393,32,0,0,fortnite,41.82754182754182,41.05534105534105,50.57915057915058,4.1184041184041185,0,0
charlidamelio,764,476,473,644,49,1,0,charlidamelio,62.30366492146597,61.910994764397905,84.29319371727748,6.4136125654450264,0.13089005235602094,0
gio,730,344,360,445,47,0,0,gio,47.12328767123288,49.31506849315068,60.95890410958904,6.438356164383562,0,0
samandcolby,691,369,330,515,34,0,0,samandcolby,53.40086830680174,47.756874095513744,74.52966714905934,4.92040520984081,0,0
mrbeast,690,366,373,426,51,0,0,mrbeast,53.04347826086957,54.05797101449276,61.73913043478261,7.391304347826087,0,0
feyenoord,671,330,296,504,59,0,0,feyenoord,49.18032786885246,44.113263785394935,75.1117734724292,8.79284649776453,0,0
ajax,627,355,373,437,19,0,0,ajax,56.61881977671451,59.4896331738437,69.6969696969697,3.0303030303030303,0,0
taylorswift,508,385,356,432,30,0,0,taylorswift,75.78740157480314,70.07874015748031,85.03937007874016,5.905511811023622,0,0
appelkaas,499,375,356,474,292,0,0,appelkaas,75.1503006012024,71.34268537074149,94.98997995991984,58.517034068136276,0,0
khabylame,455,204,228,222,6,0,0,khabylame,44.83516483516484,50.10989010989011,48.79120879120879,1.3186813186813187,0,0
geen,370,210,219,349,7,0,0,geen,56.75675675675676,59.189189189189186,94.32432432432432,1.891891891891892,0,0
jadeanna,293,24,24,263,92,0,0,jadeanna,8.19112627986348,8.19112627986348,89.76109215017065,31.399317406143346,0,0
kyliejenner,203,36,41,162,43,0,0,kyliejenner,17.733990147783253,20.19704433497537,79.80295566502463,21.182266009852217,0,0
marijnkuipers,188,75,79,186,79,0,0,marijnkuipers,39.8936170212766,42.02127659574468,98.93617021276596,42.02127659574468,0,0
miakhalifa,172,38,39,100,33,0,0,miakhalifa,22.093023255813954,22.674418604651162,58.139534883720934,19.186046511627907,0,0
apsonarmy,159,133,140,157,106,0,0,apsonarmy,83.64779874213836,88.0503144654088,98.74213836477988,66.66666666666666,0,0
rhodekok,154,27,22,144,72,5,0,rhodekok,17.532467532467532,14.285714285714285,93.5064935064935,46.75324675324675,3.2467532467532463,0
kleinejohn,122,119,119,121,23,0,0,kleinejohn,97.54098360655738,97.54098360655738,99.18032786885246,18.852459016393443,0,0
duncantromp,88,17,19,88,51,0,0,duncantromp,19.318181818181817,21.59090909090909,100,57.95454545454546,0,0
myronkoops,81,59,60,81,23,3,0,myronkoops,72.8395061728395,74.07407407407408,100,28.39506172839506,3.7037037037037033,0
qucee,59,15,18,59,44,0,0,qucee,25.423728813559322,30.508474576271187,100,74.57627118644068,0,0
stijnsaman,58,6,10,58,40,0,0,stijnsaman,10.344827586206897,17.24137931034483,100,68.96551724137932,0,0
vrienden,32,23,22,25,2,0,0,vrienden,71.875,68.75,78.125,6.25,0,0
enzoknol,21,8,7,20,9,0,0,enzoknol,38.095238095238095,33.33333333333333,95.23809523809523,42.857142857142854,0,0
isae,20,10,12,15,1,0,0,isae,50,60,75,5,0,0
touzani,20,12,12,12,1,0,0,touzani,60,60,60,5,0,0
royalistiq,15,15,15,15,9,0,0,royalistiq,100,100,100,60,0,0
fatoemakers,6,6,6,6,5,0,0,fatoemakers,100,100,100,83.33333333333334,0,0
geenidee,1,0,0,1,0,0,0,geenidee,0,0,100,0,0,0
vriendinnen,1,1,1,1,0,0,0,vriendinnen,100,100,100,0,0,0
