"InfluencerStandardized","standardizedCount","influencerList","platform","description"
"mrbeast","269","@Mrbeast, mr  beast, mr beast, mr Beast, Mr beast, Mr Beast, MR BEAST, mr_beast, Mr. Beast, mr.beast, Mr.beast, Mr.Beast, mrbeast, mrBeast, Mrbeast, MrBeast, MRbeast, MRBeast, MRBEAST, Mrbeast., mr beest, Mrbeest, mr best, MR BREST","youtube_account","Go Watch Beast Games! https://unfur.ly/BeastGames
SUBSCRIBE FOR A COOKIE!

Accomplishments:
- Raised $20,000,000 To Plant 20,000,000 Trees
- Removed 30,000,000 pounds of trash from the ocean
- Helped 2,000 people walk again
- Helped 1,000 blind people see
- Helped 1,000 deaf people hear
- Built wells in Africa
- Built and gave away 100 houses
- Adopted every dog in a shelter (twice)
- Given millions to charity
- Started my own snack company Feastables
- Started my own software company Viewstats
- Started Lunchly, a tasty, better-for-you lunch option
- Gave away a private island (twice)
- Gave away 1 million meals
- Gave away a chocolate factory
- I counted to 100k
- Ran a marathon in the world's largest shoes
- Survived 50 hours in Antarctica
- Recreated Squid Game in real life
- Created the largest competition show with 1000 people (Beast Games)
- Gave $5,000,000 to one person
- Passed T-Series to become most subscribed YouTube channel 🥹
you get it, I appreciate all of you so much :)
"
"bankzitters","248","Bank zitters, bankzitters, Bankzitters, Bankzitters., bankzitter, Bankzitter, bankziiter","youtube_account","Welkom! Op dit kanaal uploaden wij (Matthy, Koen, Robbie, Raoul en Milo) elke dinsdag en vrijdag een nieuwe video! 

Deze video's varieren van eetwedstrijden tot muziekvideo's en zijn stuk voor stuk het kijken waard dus wat doe je hier nog? Kijken die handel! 

Bankzitters staat onder toezicht van Commissariaat voor de Media.
"
"enzoknol","189","@enzoknol, enzo knol, Enzo knol, Enzo Knol, ENZO KNOL, Enzo Knol., enzoknol, Enzoknol, EnzoKnol, ENzoknol, ENZOKNOL, enzoknol 2, Enzoknol., enzoknol2, Enzoknolz., enzoknop, enzokol, enzokonol","youtube_account","Mijn naam is Enzo Knol en ik upload elke maandag, woensdag & zaterdag om 16 uur een vlog op mijn YouTube kanaal!

Mijn eigen kledinglijn ➜ www.knolpower.nl

Link naar mijn social media accounts ➜ https://enzo.knolpower.nl

#Knolpower

Dikke vette peace ✌"
"undefined","148","-, ,, ?, ????, ?????????????????, ., .., ..., /, =, 0, 1, 23, 41, 433, 45, 456, 4567, x, f1, F1, Oj, OJ, j, xx, T5G, tg,  nn, AT5, G, H, I.018l, K9, KD3, Kp, S2G, sv2","youtube_account","N/A"
"gio","105","gio, Gio, GIO, Gio., kwo, KWO, Cho, to, wto","youtube_account","Hey, welkom in mijn leven! Elke dag een video om 17:30.

Leuk dat je een kijkje neemt op mijn kanaal. Ik ben Gio, 24 jaar oud en ik upload ELKE dag een video om 17:30.
Dingen die je in deze video's kan verwachten zijn voornamelijk gekkigheid met vrienden en familie en allerlei leuke dingen uit mijn dagelijkse leven. Ik probeer een zo gek mogelijk leven ervan te maken en ik neem jou mee in deze beleving.
Vergeet dus zeker niet om te abonneren. En dan zeg ik nu LA-TER.

 Contact opnemen: gio@talpanetwork.com

Dit kanaal staat onder toezicht van het Commissariaat voor de Media👀"
"qucee","88","qucee, Qucee, QUCEE, Qcee, gucee, Quecee.","youtube_account","Het kanaal voor al je Qucee content! 

Abonneer, het is gratis!  ⤵
http://bit.do/qucee

Andere YouTube kanalen ⤵
Qucee Live  • http://bit.do/quceeliveabonneren
Qucee Gaming • http://bit.do/quceegaming

Social media kanalen ⤵
Twitch • https://www.twitch.tv/qucee
Instagram • https://www.instagram.com/qucee/
Tiktok • https://www.tiktok.com/@quceemvp
Tiktok • https://www.tiktok.com/@quceegaming

Als je altijd op de hoogte wilt blijven kan je even ABONNEREN! Veel kijkplezier!
"
"stuktv","72","stuk tv, Stuk tv, stuk-tv, stuk. tv, stuk.tv, stuktv, Stuktv, StukTV, STUKTV, Stuktv., StukTV.","youtube_account","Wij maken online programma's waarmee we jouw dagelijkse sleur doorbreken!

Word onderdeel van ons avontuur en ABONNEER voor de tofste series, gestoorde acties, gewaagde stunts, en een portie ongegeneerd schaterlachen. 

Video's:
⌾ NU bij Videoland: 'Het Jachtseizoen: Most Wanted'
⌾ Om de WOENSDAG 17:00 uur een OPDRACHT
⌾ Dagelijks doorbreken we je sleur op onze social kanalen

----
StukTV staat onder toezicht van het Commissariaat voor de Media.
"
"jadeanna","66","@jadeanna, jade anna, Jade anna, Jade Anna, Jade-Anna, jadeanna, Jadeanna, jade aana","youtube_account","Ik sta onder toezicht van het Commissariaat voor de Media

ABONNEER OP MIJN KANAAL: https://www.youtube.com/channel/UCF5gjrsLkNqI5dbFVpokkNw

SOCIAL MEDIA:
Instagram: @jadeanna
Tiktok: @jadeanna
E-mail: jadeanna@ad-venturestudios.com
Vinted: https://www.vinted.nl/member/50294647-jadeannavanvliet

FILMEN:
vlog-camera:  CANON G7X
editing: Final cut pro X

VRAGEN:
-hoe oud ben je? 20 jaar!
-sinds wanneer bestaat mijn kanaal 'Jade Anna'? 22 mei 2016

JADE ANNA:
Hi ik ben Jade en vind het leuk om tegen een camera te praten. Mijn video's zullen vooral bestaan uit vlogs en fashion & beauty gerelateerd. Vind je mijn kanaal leuk? Vergeet dan niet te abonneren! laat een reactie achter onder mijn video's, als je die leuk vind, want ik lees alle reacties en probeer zo vaak mogelijk te reageren. 
xo Jade"
"stefandevries","61","stefan de vries, Stefan de vries, Stefan de Vries, Stefan De Vries, Stefan de Vries., stefandevries, stefan vries","youtube_account","Welkom op mijn 2e kanaal waar ik alles achter mijn computertje doe"
"betasquad","60","beta squad, Beta squad, Beta Squad, BETA SQUAD, Beta squad., Beta Squad., betasquad, Betasquad, beta sqaud, Beta squid","youtube_account","What happens when you put five regular males in one alpha house?

BETA SQUAD, aka. Chunkz, Niko Omilana, Aj Shabeel, Sharky and King Kenny, are about to make the biggest move of their lives, follow them on this mad adventure. 

FOLLOW Beta Squad:
Instagram: https://instagram.com/betasquad
Twitter: https://twitter.com/betasquad5
SnapChat: https://snapchat.com/add/betasquad5

Get in touch - betasquad@uploadagency.com"
"don","60","don, Don, DON, Don., koen, Koen, Koen., Porn","youtube_account","Unknown"
"royalistiq","53","royalistiq, Royalistiq, Royalistiq., royalistic, rayalistiq, royalitiq, royalstiq, royavistiq","youtube_account","Royalistiq | GTA 5 | GTA V | Fortnite Battle Royale | Dutch Commentaries | Welkom op mijn kanaal! Mijn naam is Roy, ik ben 27 jaar oud en op YouTube heet ik 'Royalistiq'. Ik upload elke dag om 15.30 een nieuwe video en ik livestream ook regelmatig! 

Meer van mij weten? Volg mij op alle social media! Linkjes naar mijn socialmedia staan rechtsboven in mijn banner. Mocht je de links niet kunnen vinden dan kun je mij op alle socialmedia vinden met @Royalistiq."
"touzani","50","touzani, Touzani, Touzani., Toezani","youtube_account","Welcome to TouzaniTV. The Stage Is Yours ✨ ⚽️
"
"feyenoord","45","feyenoord, Feyenoord, Feyenoord., fijenoord","youtube_account","Welkom op het officiële YouTube-kanaal van Feyenoord!"
"dondejong","43","don de jong, Don de jong, Don de Jong, DON DE JONG, Don de jong., Don de Jong., dondejong, Dondejong, don de jongh, Don de Jongh","youtube_account","N/A"
"monstertube","41","monster tube, Monster tube, Monster Tube, monstertube, Monstertube, Monstertube.","youtube_account","JE BENT EEN HELD !
"
"sidemen","39","sidemen, Sidemen, Sidemen., sideman, Sideman, Sideman., Jidemen.","youtube_account","Welcome to the official Sidemen channel. The home of #SidemenSundays - We post new Sidemen videos every single Sunday!"
"rijkhofman","35","rijk hofman, Rijk hofman, Rijk Hofman, Rijk Hofman., rijkhofman, Rijk hoffman, tijkhofman","youtube_account","Dit kanaal bestaat om je te laten lachen. that's it!"
"samandcolby","33","sam and colby, sam and Colby, Sam and colby, Sam and Colby, Sam And Colby, Sam and Colby., samandcolby, sam and cobey, Sam and coby, Sam and Cody","youtube_account","What's up guys it's Sam and Colby! On this channel we react to haunted, scary, exploration videos and things they missed on our main channel! Subscribe for more!

Much love
-S and C
"
"chatmo","32","chatmo, Chatmo, CHATMO, chatmo 2, Chatmo 2","youtube_account","Subscribe to my channel if you see this 😄

E: info@chatmo.nl
"
"isae","32","isae, Isae, ISAE, isea, ISEA, isae w","youtube_account","Als je dit leest, ik hoop dat we het samen maken. 

Welkom op het kanaal van ISAE! Hier vind je elke week de gekste livestreams, grappige video's, vlogs vol chaos, pranks en nog veel meer!
"
"markiplier","31","markiplier, Markiplier, Markiplier., markaplier, Markeplier, Markplier.","youtube_account","Hi, I'm Markiplier. I make videos. 

From quality content to meme-able garbage, from scary games to full-on interactive movies you'll find it all. You will, actually. I have over 5000 videos so I'm sure there's something you'd like. 

Maybe you like horror games, or funny games, or comedy sketches, or animations, or compilations, or reactions, or reviews, or challenges, or cryptic lore, or mind-crippling ennui, or stuff-that-is-guaranteed-to-probably-make-you-cry? Whatever you're into I'm sure there's something for you down in the briny deep of my video page. So why not dive in?

Or don't. Life is yours to choose after all.
"
"amp","28","amp, Amp, AMP, AMP., zapp, Zapp","youtube_account","All business inquiries: fanumbusiness@gmail.com"
"espn","26","espn, Espn, ESPN, espn nl, Espnnl, EspnNL, ESPNL","youtube_account","Serving Sports Fans. Anytime. Anywhere."
"ishowspeed","25","I show speed., ishowspeed, Ishowspeed, IshowSpeed, IShowSpeed","youtube_account","Thank God👏🏽🙏🏽"
"msa","25","msa, Msa, MSA, MSA., nba, Nba, NBA","youtube_account","My story animated is a digital platform that provides teenagers and adults the most interesting and life changing stories with the world.
"
"laatkomers","24","laat komers, LAAT KOMERS, laatkomers, Laatkomers, Laatkomers., laatkommers","youtube_account","Welkom op het kanaal van Laatkomers! ⏰
"
"coryxkenshin","22","Cory x Kenshin, coryxkenshin, Coryxkenshin, CoryxKenshin, CoryXKenshin, Coryxkenshin., CoreyxKenshin, Coryxkhenshin","youtube_account","Just trying to live in God's image. Hopefully my videos can make your day a little better.
"
"kleinejohn","20","kleine john, kleine John, Kleine john, Kleine John, KLEINE JOHN, kleine jhon, KLEINE JHON","youtube_account","Yo guys!  Welkom op mijn kanaal! Mijn naam is Kleine John en ik upload elke donderdag & zondag.

ABONNEER als je houd van lachen!
↪ http://bit.do/abonneerkleinejohn

Link naar mijn andere socials! ➜ 
Instagram: https://www.instagram.com/kleinejohn
Snapchat: https://snapchat.com/add/kleinejohn
TikTok : https://www.tiktok.com/@kleinejohn1
Twitter: https://twitter.com/kleinejohn2
1e YouTube kanaal: https://youtube.com/kleinejohn

"
"paraduze","20","paraduze, Paraduze, Paraduze.","youtube_account","Welkom op mijn gaming kanaal! Mijn naam is Rick Ruiter en sta bekend onder de naam Paraduze.

Check hier mijn andere kanalen voor meer content:
Rick: https://www.youtube.com/@RickRuiter0
Rick Reageert:  https://www.youtube.com/@RickReageert
"
"straykids","17","@straykids, stray kids, Stray kids, Stray Kids, Stray kids., Stray Kids., straykids, Straykids, Straykids.","youtube_account","Stray Kids Official YouTube"
"gamemeneer","17","game meneer, gamemeneer, Gamemeneer","youtube_account","Welkom op GameMeneer. Mijn naam is Don en ik maak onder andere entertainment & gaming video's.
Bijna dagelijks kan je video's van mij verwachten in zoetsappige 1080 HD kwaliteit.
Ben je nieuw hier en wil je op de hoogte blijven van alles wat ik doe, dan kan je op de 'Abonneer'-knop drukken.

Business Contact: gamemeneer@bombersandlemonade.com

Wettelijk gelul:
Dit kanaal staat onder toezicht van het Commissariaat voor de Media.

Informatie:
https://linktr.ee/gamemeneer
"
"creachick","16","creachick, Creachick, CreaChick, Creachick., creachic, creachik, creacick","youtube_account","Hee, welkom op dit kanaal! Een kanaal vol met gezellige creatieve challenges waarbij ik teken, schilder of iets anders maak/uitprobeer. Have fun!"
"familielakap","16","familie lakap, Familie lakap, Familie Lakap, familielakap, familieLakap, Famillie Lakap","youtube_account","Hier kom je de leukste challenges tegen😎

"
"hanwe","16","hanwe, Hanwe, hanwee","youtube_account","► Tweede kanaal: https://www.youtube.com/hantwee


►Social Media: 
- Instagram: https://instagram.com/hanwe
- Twitter: https://twitter.com/HanweChang


Voor zakelijke vragen/verzoeken mail naar: hanwezakelijk@gmail.com"
"sturniolotriplets","16","sturniolo triplets, Sturniolo triplets, Sturniolo Triplets, Sturniolo triplets., sturniolotriplets, Sturniolotriplets, Sturniolo triplet","youtube_account","Sturniolos live video’s"
"glowmovies","15","@Glowmovies, Glow movies., glowmovies, Glowmovies, glomovies","youtube_account","Hoi, wij zijn Rik en Jesper van Glowmovies! Wij zijn gewone jongens die bijzondere dingen doen. 🛠🎢🌊

We nemen je mee in de meest avontuurlijke challenges. Van indrukwekkende doe-het-zelf constructies tot aan de meest extreme experimenten.  

Vergeet niet te abonneren en mis geen enkel avontuur!

"
"tommyinnit","14","@Tommyinnit, tommyinnit, Tommyinnit, TommyInnit, Tommyinit","youtube_account","I'm overrated but still good"
"kaicenat","14","kai cenat, Kai cenat, Kai Cenat, Kaicenat, kai canat","youtube_account","Unknown"
"weetikniet","14","weet ik niet, Weet ik niet, WEET IK NIET, weet niet, Weet niet","youtube_account","N/A"
"yarasky","13","yarasky, Yarasky, yarsky","youtube_account","Welkom op mijn Youtube kanaal, abonneer nu om op de hoogte te blijven van alle uploads van veel verschillende games!"
"harm","12","harm, Harm, arms","youtube_account","N/A"
"ssundee","12","ssundee, Ssundee, SSundee, Ssundee., ssunddee, Ssunder","youtube_account","Welcome to my channel!  I upload a lot of funny Minecraft, Fortnite and Among Us Videos! I also upload random games. lol I yell a lot.

I also play random games from time to time.

-SSundee"
"ziggosport","12","ziggo sport, Ziggo sport, Ziggo Sport, ziggosport, Ziggosport, ziggo sports, Ziggo Sports","youtube_account","Maak vandaag fantastisch! Met het beste entertainment voor jou. "
"jordystorm","11","jordystorm, Jordystorm, jordysrorm","youtube_account","Reallife content van JordyStorm"
"kriekel","11","kriekel, Kriekel","youtube_account","Ik hou van mensen blij maken :)"
"nee","11","nee, Nee, NEE, geen, Geen, veel, Veel, dee, Mees, Weet","youtube_account","N/A"
"outdoorboys","11","outdoor boys, Outdoor boys, Outdoor Boys., Outdoor-boys, outdoorboys, Outdoorbots","youtube_account","Me and my boys, Tommy, Nate and Jacob are the Outdoor Boys. We love all things outdoors: family projects and adventures, travel, forging, camping, camp fire cooking, fossil hunting, magnet fishing, metal detecting, goofing around whatever we darn-well feel like!! 
We also do tons of fishing videos and have posted over 300 videos on our fishing YouTube Channel https://www.youtube.com/catfishandcarp"
"barz","10","101 barz, 101 Barz, 101barz, 101Barz, boaz, Boaz, 101 Bayz., Bam.","youtube_account","101Barz is het grootste hiphop-platform van Nederland met wekelijks nieuwe video's. Natuurlijk brengt Rotjoch je elke week de welbekende Studiosessies op je beeldscherm, maar dat is niet alles. Tijdens 'Next Up' bezoekt Barz de grootste aanstormende talenten en voor de persoonlijke verhalen van je favoriete artiest  maakt 101 de 'Portret'-items. Op de hoogte blijven? Abonneer je op ons kanaal.

Wil jij de redactie iets mailen? Stuur het naar barzredactie@bnnvara.nl
 
101Barz is een online platform van BNNVARA, onderdeel van de Nederlandse Publieke Omroep."
