"InfluencerStandardized","standardizedCount","influencerList","platform"
"mrbeast",269,"@Mrbeast, mr  beast, mr beast, mr Beast, Mr beast, Mr Beast, MR BEAST, mr_beast, Mr. Beast, mr.beast, Mr.beast, Mr.Beast, mrbeast, mrBeast, Mrbeast, MrBeast, MRbeast, MRBeast, MRBEAST, Mrbeast., mr beest, Mrbeest, mr best, MR BREST","youtube_account"
"bankzitters",248,"Bank zitters, bankzitters, Bankzitters, Bankzitters., bankzitter, Bankzitter, bankziiter","youtube_account"
"enzoknol",189,"@enzoknol, enzo knol, Enzo knol, Enzo Knol, ENZO KNOL, Enzo Knol., enzoknol, Enzoknol, EnzoKnol, ENzoknol, ENZOKNOL, enzoknol 2, Enzoknol., enzoknol2, Enzoknolz., enzoknop, enzokol, enzokonol","youtube_account"
"undefined",148,"-, ,, ?, ????, ?????????????????, ., .., ..., /, =, 0, 1, 23, 41, 433, 45, 456, 4567, x, f1, F1, Oj, OJ, j, xx, T5G, tg,  nn, AT5, G, H, I.018l, K9, KD3, Kp, S2G, sv2","youtube_account"
"gio",105,"gio, Gio, GIO, Gio., kwo, KWO, Cho, to, wto","youtube_account"
"qucee",88,"qucee, Qucee, QUCEE, Qcee, gucee, Quecee.","youtube_account"
"stuktv",72,"stuk tv, Stuk tv, stuk-tv, stuk. tv, stuk.tv, stuktv, Stuktv, StukTV, STUKTV, Stuktv., StukTV.","youtube_account"
"jadeanna",66,"@jadeanna, jade anna, Jade anna, Jade Anna, Jade-Anna, jadeanna, Jadeanna, jade aana","youtube_account"
"stefandevries",61,"stefan de vries, Stefan de vries, Stefan de Vries, Stefan De Vries, Stefan de Vries., stefandevries, stefan vries","youtube_account"
"betasquad",60,"beta squad, Beta squad, Beta Squad, BETA SQUAD, Beta squad., Beta Squad., betasquad, Betasquad, beta sqaud, Beta squid","youtube_account"
"don",60,"don, Don, DON, Don., koen, Koen, Koen., Porn","youtube_account"
"royalistiq",53,"royalistiq, Royalistiq, Royalistiq., royalistic, rayalistiq, royalitiq, royalstiq, royavistiq","youtube_account"
"touzani",50,"touzani, Touzani, Touzani., Toezani","youtube_account"
"feyenoord",45,"feyenoord, Feyenoord, Feyenoord., fijenoord","youtube_account"
"dondejong",43,"don de jong, Don de jong, Don de Jong, DON DE JONG, Don de jong., Don de Jong., dondejong, Dondejong, don de jongh, Don de Jongh","youtube_account"
"monstertube",41,"monster tube, Monster tube, Monster Tube, monstertube, Monstertube, Monstertube.","youtube_account"
"sidemen",39,"sidemen, Sidemen, Sidemen., sideman, Sideman, Sideman., Jidemen.","youtube_account"
"rijkhofman",35,"rijk hofman, Rijk hofman, Rijk Hofman, Rijk Hofman., rijkhofman, Rijk hoffman, tijkhofman","youtube_account"
"samandcolby",33,"sam and colby, sam and Colby, Sam and colby, Sam and Colby, Sam And Colby, Sam and Colby., samandcolby, sam and cobey, Sam and coby, Sam and Cody","youtube_account"
"chatmo",32,"chatmo, Chatmo, CHATMO, chatmo 2, Chatmo 2","youtube_account"
"isae",32,"isae, Isae, ISAE, isea, ISEA, isae w","youtube_account"
"markiplier",31,"markiplier, Markiplier, Markiplier., markaplier, Markeplier, Markplier.","youtube_account"
"amp",28,"amp, Amp, AMP, AMP., zapp, Zapp","youtube_account"
"espn",26,"espn, Espn, ESPN, espn nl, Espnnl, EspnNL, ESPNL","youtube_account"
"ishowspeed",25,"I show speed., ishowspeed, Ishowspeed, IshowSpeed, IShowSpeed","youtube_account"
"msa",25,"msa, Msa, MSA, MSA., nba, Nba, NBA","youtube_account"
"laatkomers",24,"laat komers, LAAT KOMERS, laatkomers, Laatkomers, Laatkomers., laatkommers","youtube_account"
"coryxkenshin",22,"Cory x Kenshin, coryxkenshin, Coryxkenshin, CoryxKenshin, CoryXKenshin, Coryxkenshin., CoreyxKenshin, Coryxkhenshin","youtube_account"
"kleinejohn",20,"kleine john, kleine John, Kleine john, Kleine John, KLEINE JOHN, kleine jhon, KLEINE JHON","youtube_account"
"paraduze",20,"paraduze, Paraduze, Paraduze.","youtube_account"
"straykids",17,"@straykids, stray kids, Stray kids, Stray Kids, Stray kids., Stray Kids., straykids, Straykids, Straykids.","youtube_account"
"gamemeneer",17,"game meneer, gamemeneer, Gamemeneer","youtube_account"
"creachick",16,"creachick, Creachick, CreaChick, Creachick., creachic, creachik, creacick","youtube_account"
"familielakap",16,"familie lakap, Familie lakap, Familie Lakap, familielakap, familieLakap, Famillie Lakap","youtube_account"
"hanwe",16,"hanwe, Hanwe, hanwee","youtube_account"
"sturniolotriplets",16,"sturniolo triplets, Sturniolo triplets, Sturniolo Triplets, Sturniolo triplets., sturniolotriplets, Sturniolotriplets, Sturniolo triplet","youtube_account"
"glowmovies",15,"@Glowmovies, Glow movies., glowmovies, Glowmovies, glomovies","youtube_account"
"tommyinnit",14,"@Tommyinnit, tommyinnit, Tommyinnit, TommyInnit, Tommyinit","youtube_account"
"kaicenat",14,"kai cenat, Kai cenat, Kai Cenat, Kaicenat, kai canat","youtube_account"
"weetikniet",14,"weet ik niet, Weet ik niet, WEET IK NIET, weet niet, Weet niet","youtube_account"
"yarasky",13,"yarasky, Yarasky, yarsky","youtube_account"
"harm",12,"harm, Harm, arms","youtube_account"
"ssundee",12,"ssundee, Ssundee, SSundee, Ssundee., ssunddee, Ssunder","youtube_account"
"ziggosport",12,"ziggo sport, Ziggo sport, Ziggo Sport, ziggosport, Ziggosport, ziggo sports, Ziggo Sports","youtube_account"
"jordystorm",11,"jordystorm, Jordystorm, jordysrorm","youtube_account"
"kriekel",11,"kriekel, Kriekel","youtube_account"
"nee",11,"nee, Nee, NEE, geen, Geen, veel, Veel, dee, Mees, Weet","youtube_account"
"outdoorboys",11,"outdoor boys, Outdoor boys, Outdoor Boys., Outdoor-boys, outdoorboys, Outdoorbots","youtube_account"
