Channel,Views,Subscribers,Videos,Views Per Video,Views Per Subscriber
MrBeast,73784793417,367000000,849,86907883.88339223,201.04848342506813
Markiplier,22306589548,37400000,5706,3909321.6873466526,596.4328756149732
IShowSpeed,3594164820,36300000,1533,2344530.2152641877,99.01280495867769
SSundee,16199669028,24700000,3706,4371200.493254183,655.8570456680162
MSA previously My Story Animated,11196773582,23600000,937,11949598.27321238,474.43955855932205
Sidemen,6805932958,22000000,401,16972401.391521197,309.360589
CoryxKenshin,8450625879,21300000,1704,4959287.487676056,396.7429990140845
The Game Theorists,4404787759,19500000,758,5811065.645118734,225.88655174358973
Stray Kids,7000567706,19300000,1473,4752591.789545146,362.72371533678756
TommyInnit,2539554021,15100000,507,5008982.289940828,168.18238549668874
Sam and Colby,2030845501,13700000,355,5720691.552112676,148.23689788321167
ESPN,16542348924,13400000,90283,183227.72752345403,1234.503651044776
Beta Squad,1473177024,10400000,159,9265264.301886793,141.65163692307692
Sturniolo Triplets,761955102,7400000,367,2076171.9400544958,102.96690567567568
AMP,831032226,7090000,221,3760326.814479638,117.21187954866008
Kai Cenat,407067048,7030000,286,1423311.3566433566,57.90427425320057
EnzoKnol,3604910989,2900000,6102,590775.3177646673,1243.072754827586
StukTV,1618229454,2650000,1334,1213065.5577211394,610.6526241509434
Gio,977175145,1400000,3168,308451.7503156566,697.9822464285714
TOUZANI TV,494969025,1350000,901,549355.1886792453,366.6437222222222
GameMeneer,906821313,1190000,4495,201740.00289210235,762.0347168067227
Hanwe,561347828,1130000,727,772142.8170563962,496.767989380531
Bankzitters,895121316,1130000,643,1392101.5800933125,792.1427575221239
Don,845489909,1100000,2151,393068.2980009298,768.62719
Glowmovies,369745272,1060000,490,754582.1877551021,348.81629433962263
Stefan de Vries,298192693,1030000,463,644044.6933045356,289.5074689320388
Royalistiq,589312662,1020000,3872,152198.5180785124,577.7575117647059
Qucee,304539639,919000,1472,206888.3417119565,331.38154406964094
HARM,394467960,911000,1978,199427.6845298281,433.0054445664105
FAMILIE LAKAP,538002253,805000,1037,518806.4156219865,668.3257801242236
Yarasky,680450819,794000,10944,62175.696180555555,856.9909559193954
Ziggo Sport,869997052,711000,11340,76719.3167548501,1223.6245457102673
Chatmo,194180323,703000,141,1377165.4113475177,276.2166756756757
Paraduze,253177836,554000,2225,113787.79146067415,456.9997039711191
Acid,109239003,442000,772,141501.29922279794,247.14706561085973
Kriekel,107332849,441000,145,740226.5448275862,243.38514512471656
Rijk Hofman,169190339,401000,428,395304.5303738318,421.92104488778057
CreaChick,141764583,334000,450,315032.4066666667,424.4448592814371
MONSTER tube,153210226,322000,965,158767.07357512953,475.8081552795031
JordyStorm,74734004,317000,1206,61968.494195688225,235.75395583596213
Jade Anna,59107576,293000,503,117510.09145129225,201.73234129692833
Feyenoord,120480676,218000,4435,27165.879594137543,552.6636513761468
ISAE,9724158,210000,109,89212.45871559632,46.30551428571429
Laatkomers,15776478,128000,114,138390.15789473685,123.253734375
Kleine John - Topic,3429881,6150,23,149125.26086956522,557.7042276422765
