category_name,channelCount,avgViews,avgSubs,totalVideos
Lifestyle (sociology),26,4199145810.5,19535346.153846152,25596
Entertainment,19,5725517403.052631,25617421.05263158,11829
Action game,12,5000800987.25,13198750,36765
Action-adventure game,12,5000800987.25,13198750,36765
Video game culture,12,5000800987.25,13198750,36765
Role-playing video game,12,5000800987.25,13198750,36765
Film,8,2327787926.125,7478500,4490
Sport,6,3039625413,2751666.6666666665,107214
Strategy video game,4,4430652586.25,6767000,20747
Association football,4,419906769,745500,16817
Television program,3,782922540.3333334,1393666.6666666667,2489
Humour,2,940122036,8715000,445
Music,2,3501998793.5,9653075,1496
Pop music,2,3501998793.5,9653075,1496
Vehicle,1,845489909,1100000,2151
Casual game,1,22306589548,37400000,5706
Boxing,1,6805932958,22000000,401
Food,1,761955102,7400000,367
Tourism,1,394467960,911000,1978
Society,1,2030845501,13700000,355
Hobby,1,141764583,334000,450
Hip hop music,1,3429881,6150,23
Performing arts,1,7000567706,19300000,1473
Simulation video game,1,906821313,1190000,4495
Electronic music,1,3429881,6150,23
Music of Asia,1,7000567706,19300000,1473
Rhythm and blues,1,3429881,6150,23
Music of Latin America,1,3429881,6150,23
Basketball,1,16542348924,13400000,90283
