Metric,Value
Total Videos,6073
Unique Channels,44
Channels with Exact Match,41
Channels with Trimmed Match,3
Channels with No Match,


Channel Details
Channel Title,Channel ID,Video Count,Subscriber Count,Avg Views Per Video,Avg Likes Per Video,Avg Comments Per Video
"Royalistiq","UC6UTBWQJOvtGIjdBcC7WwPw",501,1020000,45063.75,1385.84,27.16
"ESPN","UCiWLfSweyRNmLpgEHekhoAg",499,13400000,1585263.64,50939.89,1332.12
"Stray Kids","UC9rMiEjNaCSsebs31MRDCRA",386,19300000,2772487.74,331645.46,5569.13
"MONSTER tube","UCw_HtXdr-jr7A0GuAEEOo9A    ",350,322000,175156.81,5240.08,115.32
"Feyenoord","UCg_DGzRRIQlXpHxCrMMiAIQ",345,218000,27678.08,701.54,28.42
"Yarasky","UCOj5e5vveMzgwv2hHOFODLA",325,794000,35045.01,1505.50,104.52
"GameMeneer","UCU0TjDaglN5awRHKY_tThzA",317,1190000,69655.84,2686.97,97.22
"JordyStorm","UCxmFU73cNUBMdmAcFtusHMg",277,317000,34439.49,1163.60,112.15
"Gio","UCzK9UevsDrNpuPON_H1EepA",253,1400000,208117.88,3931.91,388.15
"EnzoKnol","UCh8bTHe4T8o7RIU7R5EPX-w",247,2900000,417020.82,9887.33,673.53
"Paraduze","UCaeE4Ci4qayB1i5NrlQMyEQ",231,554000,82323.68,1874.50,105.81
"SSundee","UCke6I9N4KfC968-yRcd5YRg",221,24700000,2476156.51,55028.22,2128.12
"TOUZANI TV","UCto2NI994eyiEgP2eB3Jwdg",185,1350000,530275.09,11749.49,150.21
"StukTV","UCK5Fn7Z6-iFMdxEye2FsKXg",182,2650000,213870.82,6560.34,221.92
"IShowSpeed","UCWsDFcIhY2DBi3GB5uykGXA",178,36300000,5806261.66,223891.42,5988.28
"Bankzitters","UC72_FRBE63kbHDYeKgc5HDg",144,1130000,1347257.06,34815.38,688.22
"Markiplier","UC7_YxT-KID8kRbqZo7MyscQ",122,37400000,3056588.61,158601.94,5344.74
"Qucee","UCfqnx4kPKA4kaaUDODirUwg",107,919000,226675.48,6600.22,244.42
"Chatmo","UC8gksu87NaSOe6_SMRQeewg",101,703000,1709569.48,68249.18,263.29
"FAMILIE LAKAP","UCnBr_yJS0OTvMVu7jeqaPwA",96,805000,299455.83,5693.30,352.18
"The Game Theorists","UCo_IB5145EVNcf8hw1Kku7w",82,19500000,2803887.38,184130.56,10895.60
"MSA previously My Story Animated","UCYzEMRKqrh01-tauv7MYyVQ",78,23600000,8403342.21,160088.35,7498.91
"Sturniolo Triplets","UCfA5CSlYGseqSeOhsiiZTfw",75,7400000,1968039.19,109555.00,6381.68
"HARM","UCdG3OPC1WvPBWFvnfmYnWNg",74,911000,338797.85,8965.95,145.49
"Laatkomers","UCTazmNdltdzNs2_a9S9M__g",66,128000,118651.38,2990.61,107.33
"Rijk Hofman","UClOXnNzA9RI2dWd-bhIrwKg",63,401000,541099.25,12264.75,382.51
"Glowmovies","UCVW-rO63J7bTMCxG9RsT7Pg",63,1060000,479379.78,11348.90,818.13
"MrBeast","UCX6OQ3DkcsbYNE6H8uQQuVA",62,367000000,249264516.92,8929960.06,73525.40
"Sidemen","UCDogdKl7t7NHzQ95aEwkdMw",56,22000000,10211189.93,285774.52,8156.96
"Hanwe","UCJx1izJJh2GSQnn9Rmh3mAQ",55,1130000,243839.09,7455.09,406.38
"Stefan de Vries","UCOLAaOyjwTyPRb4NtN0D40w",49,1030000,418557.29,10990.27,488.96
"TommyInnit","UC5p_l5ZeB_wGjO_yDXwiqvw",49,15100000,1238210.76,92583.20,5137.27
"CreaChick","UCqU8DkxHjEskQYuNiKS8hdQ",49,334000,389975.06,7371.12,897.94
"Kriekel","UC1OhWZCBKrxR-Kxe72gmdHQ",37,441000,470262.84,9126.30,386.08
"Jade Anna","UCF5gjrsLkNqI5dbFVpokkNw",33,293000,188841.39,2941.52,154.64
"Beta Squad","UCxOzbkk0bdVl6-tH1Fcajfg",29,10400000,7349728.52,209233.97,6252.69
"AMP","UCJbYdyufHR-cxOuY96KIoqA",25,7090000,5416835.48,180290.20,6710.28
"ISAE","UCa1Hy6QFbZLAHt97ABM3GVg ",17,210000,83418.06,4186.18,357.76
"Don","UC-XguAp8kn-0tRqm0w2gYNw",12,1100000,260708.83,7238.75,941.17
"Sam and Colby","UCg3gzldyhCHJjY7AWWTNPPA    ",11,13700000,11461229.27,426654.09,39676.09
"Kai Cenat","UCoEmptob-eEGKk18c2VplJg",7,7030000,9169681.71,378953.00,13647.29
"Kleine John - Topic","UCmpBLWm1AvRtThEG6DsmiTg",7,6150,191434.71,1454.43,0.00
"CoryxKenshin","UCiYcA0gJzg855iSKMrX3oHg",6,21300000,13468106.83,1197134.83,154690.67
"Ziggo Sport","UCueOZEvMffxjJyVO1fGiJNQ",1,711000,18468.00,224.00,37.00
