username,declared_video_count,actual_video_count,followers_count,likes_count,totalVideos,avgViewCount,minViewCount,maxViewCount,avgLikeCount,minLikeCount,maxLikeCount,avgCommentCount,minCommentCount,maxCommentCount,avgShareCount,minShareCount,maxShareCount,follower_count,video_count,engagement_rate,popularity_score,total_videos,short_videos,short_percentage,mid_videos,mid_percentage,long_videos,long_percentage,extra_long_videos,extra_long_percentage,_id,videos_with_hashtag_names,videos_with_hashtag_info,videos_with_description,videos_with_voice_to_text,videos_with_video_label_content,videos_with_all_fields,pct_with_hashtag_names,pct_with_hashtag_info,pct_with_description,pct_with_voice_to_text,pct_with_video_label_content,pct_with_all_fields,videos_with_hashtags,videos_with_voice,hashtags_pct,description_pct,voice_pct,all_fields_pct,total_videos_with_comments,total_comments,total_likes,total_replies
espn,36340,1235,52059184,7165417847,1235,1201870.87,110,66907655,81683.91,2,3710932,616.09,0,46113,4172.57,0,636812,52059184,36340,0.38,289740.26,1235,608,49.23,519,42.02,104,8.42,4,0.32,espn,1147,1110,1233,639,8,2,92.8744939271255,89.87854251012146,99.83805668016194,51.740890688259114,0.6477732793522267,0.16194331983805668,1147,639,92.87,99.84,51.74,0.16,34,10279,139154,6999
nee,0,982,100,21,982,1364.39,0,532677,95.44,0,32176,5.16,0,408,9.32,0,6320,100,0,0,0.01,982,390,39.71,541,55.09,50,5.09,1,0.1,nee,581,594,725,5,0,0,59.164969450101836,60.4887983706721,73.82892057026477,0.5091649694501018,0,0,581,5,59.16,73.83,0.51,0,536,3424,3643,1671
billieeilish,70,942,71291000,467974156,892,228952.65,0,84765825,29898.15,0,12982828,228.84,0,80169,463.88,0,169447,71291000,70,9.38,22996.43,942,739,78.45,183,19.43,18,1.91,2,0.21,billieeilish,687,681,795,24,0,0,72.92993630573248,72.29299363057325,84.39490445859873,2.547770700636943,0,0,687,24,72.93,84.39,2.55,0,,,,
bts,0,906,727,0,906,3590.89,1,657144,649.41,0,136884,15.2,0,5260,34.07,0,17380,727,0,0,0.04,906,536,59.16,306,33.77,62,6.84,2,0.22,bts,530,532,637,16,0,0,58.498896247240616,58.719646799117,70.30905077262693,1.7660044150110374,0,0,530,16,58.5,70.31,1.77,0,,,,
messi,4,885,15752,17571,885,2029.06,0,1066225,63.15,0,21696,3.53,0,970,3.23,0,690,15752,4,27.89,1.65,885,447,50.51,398,44.97,40,4.52,0,0,messi,295,279,368,12,0,0,33.33333333333333,31.52542372881356,41.5819209039548,1.3559322033898304,0,0,295,12,33.33,41.58,1.36,0,,,,
straykids,0,842,1095,0,842,960.79,0,147961,146.71,0,35919,4.12,0,459,6.95,0,1670,1095,0,0,0.07,842,602,71.5,208,24.7,32,3.8,0,0,straykids,620,627,712,17,0,0,73.63420427553444,74.46555819477435,84.56057007125891,2.019002375296912,0,0,620,17,73.63,84.56,2.02,0,,,,
bankzitters,278,840,748166,25362845,840,87422.74,1,2065454,7700.85,0,189064,57.15,0,1956,227.52,0,13626,748166,278,12.19,1059.4,840,549,65.36,250,29.76,41,4.88,0,0,bankzitters,665,657,787,123,0,0,79.16666666666666,78.21428571428571,93.69047619047619,14.642857142857144,0,0,665,123,79.17,93.69,14.64,0,633,30553,375389,11758
barcelona,295,822,10245,227875,822,2636.8,1,307844,185.32,0,20656,3.8,0,216,16.61,0,2329,10245,295,7.54,9.73,822,440,53.53,333,40.51,46,5.6,3,0.36,barcelona,336,311,394,11,0,0,40.87591240875913,37.8345498783455,47.93187347931874,1.338199513381995,0,0,336,11,40.88,47.93,1.34,0,,,,
realmadrid,2382,806,56424255,1315022930,806,236980.33,0,11895857,22790.36,0,1129528,189.1,0,23087,242.46,0,31635,56424255,2382,0.98,55986.37,806,426,52.85,316,39.21,60,7.44,4,0.5,realmadrid,359,356,462,17,0,0,44.5409429280397,44.168734491315135,57.32009925558312,2.109181141439206,0,0,359,17,44.54,57.32,2.11,0,22,3023,29332,1753
ronaldo,3,805,4011966,1922028,805,1364.77,0,429145,124.1,0,66421,3.23,0,1249,5.08,0,1409,4011966,3,15.97,317.6,805,396,49.19,362,44.97,45,5.59,2,0.25,ronaldo,312,319,380,10,0,0,38.75776397515528,39.62732919254658,47.20496894409938,1.2422360248447204,0,0,312,10,38.76,47.2,1.24,0,,,,
championsleague,1767,787,48251481,1846310129,787,4288572.99,0,76695858,428392.51,0,9046407,2897.98,0,286161,7994.64,0,393660,48251481,1767,2.17,76747.49,787,523,66.45,194,24.65,67,8.51,3,0.38,championsleague,576,545,625,47,0,0,73.18932655654383,69.25031766200762,79.41550190597204,5.972045743329097,0,0,576,47,73.19,79.42,5.97,0,,,,
fortnite,939,777,16367918,155613825,777,26267.75,1,8205834,1713.7,0,727317,50.7,0,14454,128.85,0,52856,16367918,939,1.01,7206.63,777,467,60.1,256,32.95,48,6.18,6,0.77,fortnite,325,319,393,32,0,0,41.82754182754182,41.05534105534105,50.57915057915058,4.1184041184041185,0,0,325,32,41.83,50.58,4.12,0,,,,
charlidamelio,2846,764,157373715,11872152142,764,3871095.48,0,86383019,234251.79,0,7789689,1365.39,0,56176,3054.8,0,259894,157373715,2846,2.65,484328.51,764,433,56.68,299,39.14,32,4.19,0,0,charlidamelio,476,473,644,49,1,0,62.30366492146597,61.910994764397905,84.29319371727748,6.4136125654450264,0.13089005235602094,0,476,49,62.3,84.29,6.41,0,,,,
gio,23,730,410478,3368657,730,4686.47,5,690032,391.28,0,123551,29.49,0,11157,29.67,0,17834,410478,23,35.68,159.37,730,336,46.03,324,44.38,69,9.45,1,0.14,gio,344,360,445,47,0,0,47.12328767123288,49.31506849315068,60.95890410958904,6.438356164383562,0,0,344,47,47.12,60.96,6.44,0,,,,
samandcolby,413,691,3775312,20568963,691,11849.97,10,1705624,1557.77,0,373810,17.13,0,1517,24.16,0,8705,3775312,413,1.32,1049.28,691,542,78.44,133,19.25,14,2.03,2,0.29,samandcolby,369,330,515,34,0,0,53.40086830680174,47.756874095513744,74.52966714905934,4.92040520984081,0,0,369,34,53.4,74.53,4.92,0,,,,
mrbeast,398,690,115046916,1126211146,690,300029.05,0,37373871,22016.58,0,3531134,324.79,0,42965,889.09,0,281592,115046916,398,2.46,51951.26,690,196,28.41,378,54.78,107,15.51,9,1.3,mrbeast,366,373,426,51,0,0,53.04347826086957,54.05797101449276,61.73913043478261,7.391304347826087,0,0,366,51,53.04,61.74,7.39,0,275,10113,1774500,27377
feyenoord,1188,671,1987007,40893188,671,99376.77,5,6345202,9249.27,0,364374,80.15,0,4029,246.25,0,39333,1987007,1188,1.73,1754.95,671,406,60.51,234,34.87,30,4.47,1,0.15,feyenoord,330,296,504,59,0,0,49.18032786885246,44.113263785394935,75.1117734724292,8.79284649776453,0,0,330,59,49.18,75.11,8.79,0,458,33815,362061,14225
ajax,5,627,952,208,627,718.16,0,22025,66.88,0,2321,5.81,0,177,1.61,0,140,952,5,4.37,0.07,627,365,58.21,245,39.07,17,2.71,0,0,ajax,355,373,437,19,0,0,56.61881977671451,59.4896331738437,69.6969696969697,3.0303030303030303,0,0,355,19,56.62,69.7,3.03,0,,,,
ishowspeed,27,606,40750692,307097955,606,664705.11,0,103452629,59859,0,9801290,534.9,0,86756,2112.45,0,602199,40750692,27,27.91,14728.96,606,255,42.08,221,36.47,127,20.96,3,0.5,ishowspeed,402,400,429,62,5,1,66.33663366336634,66.006600660066,70.79207920792079,10.231023102310232,0.825082508250825,0.16501650165016502,402,62,66.34,70.79,10.23,0.17,,,,
taylorswift,71,508,32679787,248003453,508,11141.49,0,3582185,1579.48,0,553002,17.87,0,2721,119.02,0,45356,32679787,71,10.69,11880.93,508,297,58.46,175,34.45,35,6.89,1,0.2,taylorswift,385,356,432,30,0,0,75.78740157480314,70.07874015748031,85.03937007874016,5.905511811023622,0,0,385,30,75.79,85.04,5.91,0,,,,
appelkaas,4389,499,547936,28168272,499,81494.8,3218,1019461,7116.35,226,73061,206.78,6,3453,469.62,1,14621,547936,4389,1.17,1159.61,499,328,65.73,158,31.66,13,2.61,0,0,appelkaas,375,356,474,292,0,0,75.1503006012024,71.34268537074149,94.98997995991984,58.517034068136276,0,0,375,292,75.15,94.99,58.52,0,,,,
khabylame,0,455,384,0,455,192.56,0,10595,16.37,0,93,1.12,0,22,0.72,0,37,384,0,0,0.02,455,170,37.36,162,35.6,113,24.84,10,2.2,khabylame,204,228,222,6,0,0,44.83516483516484,50.10989010989011,48.79120879120879,1.3186813186813187,0,0,204,6,44.84,48.79,1.32,0,,,,
geen,0,370,51,0,370,683.06,13,94198,46.15,0,7055,1.01,0,77,14.72,0,4805,51,0,0,0,370,150,40.54,142,38.38,76,20.54,2,0.54,geen,210,219,349,7,0,0,56.75675675675676,59.189189189189186,94.32432432432432,1.891891891891892,0,0,210,7,56.76,94.32,1.89,0,,,,
jadeanna,2600,293,1808030,157619196,293,818608.45,258133,4825696,55186.87,5678,229170,250.1,24,2988,768.43,9,30037,1808030,2600,3.35,6413.25,293,101,34.47,55,18.77,136,46.42,1,0.34,jadeanna,24,24,263,92,0,0,8.19112627986348,8.19112627986348,89.76109215017065,31.399317406143346,0,0,24,92,8.19,89.76,31.4,0,291,44424,1106041,21429
kyliejenner,504,203,56928818,1522253801,203,12074697.16,0,85906429,1097783.82,0,9632260,2654.99,0,31072,15341.95,0,333444,56928818,504,5.31,64305.88,203,91,44.83,75,36.95,37,18.23,0,0,kyliejenner,36,41,162,43,0,0,17.733990147783253,20.19704433497537,79.80295566502463,21.182266009852217,0,0,36,43,17.73,79.8,21.18,0,,,,
marijnkuipers,1321,188,771621,50109105,188,633076.96,115721,8247322,43512.97,4881,1021405,111.63,12,2514,809.43,1,21132,771621,1321,4.92,2050.66,188,88,46.81,40,21.28,60,31.91,0,0,marijnkuipers,75,79,186,79,0,0,39.8936170212766,42.02127659574468,98.93617021276596,42.02127659574468,0,0,75,79,39.89,98.94,42.02,0,,,,
miakhalifa,722,172,38999928,649912585,172,4432212.37,0,54895116,152031.27,0,3651215,2475.97,0,52040,12213.14,0,330169,38999928,722,2.31,28336.5,172,85,49.42,67,38.95,15,8.72,5,2.91,miakhalifa,38,39,100,33,0,0,22.093023255813954,22.674418604651162,58.139534883720934,19.186046511627907,0,0,38,33,22.09,58.14,19.19,0,,,,
apsonarmy,677,159,1657307,80069753,159,1761615.94,186346,16094047,161703.86,12288,2144585,1248.09,97,14091,8207.23,17,98667,1657307,677,7.14,3302.23,159,50,31.45,106,66.67,3,1.89,0,0,apsonarmy,133,140,157,106,0,0,83.64779874213836,88.0503144654088,98.74213836477988,66.66666666666666,0,0,133,106,83.65,98.74,66.67,0,,,,
rhodekok,1012,154,1262503,78822483,154,912180.92,229697,8008081,80426.12,10359,480231,304.28,22,2108,1845.97,9,137996,1262503,1012,6.17,3228.65,154,20,12.99,93,60.39,41,26.62,0,0,rhodekok,27,22,144,72,5,0,17.532467532467532,14.285714285714285,93.5064935064935,46.75324675324675,3.2467532467532463,0,27,72,17.53,93.51,46.75,0,121,22615,557701,8269
kleinejohn,453,122,446376,15728122,122,329281.08,37465,3108519,24437.09,2632,379492,459.91,6,8736,673.99,8,7691,446376,453,7.78,655.91,122,26,21.31,88,72.13,8,6.56,0,0,kleinejohn,119,119,121,23,0,0,97.54098360655738,97.54098360655738,99.18032786885246,18.852459016393443,0,0,119,23,97.54,99.18,18.85,0,,,,
duncantromp,674,88,1081751,69149403,88,727462.39,290790,2375755,87056.84,28871,216340,568.43,73,3950,2026.48,15,25537,1081751,674,9.48,2830.88,88,8,9.09,62,70.45,18,20.45,0,0,duncantromp,17,19,88,51,0,0,19.318181818181817,21.59090909090909,100,57.95454545454546,0,0,17,51,19.32,100,57.95,0,88,31660,400463,10881
myronkoops,441,81,880748,23814332,81,768844.06,196639,2023173,60626.21,9275,162853,379.84,38,4818,462.05,7,5349,880748,441,6.13,1005.42,81,15,18.52,23,28.4,41,50.62,2,2.47,myronkoops,59,60,81,23,3,0,72.8395061728395,74.07407407407408,100,28.39506172839506,3.7037037037037033,0,59,23,72.84,100,28.4,0,,,,
qucee,332,59,1009043,22432844,59,630301.41,97324,2044540,45499.46,3415,184734,479.51,16,4198,1910.36,10,25332,1009043,332,6.7,957.86,59,6,10.17,52,88.14,1,1.69,0,0,qucee,15,18,59,44,0,0,25.423728813559322,30.508474576271187,100,74.57627118644068,0,0,15,44,25.42,100,74.58,0,,,,
stijnsaman,676,58,781065,40545717,58,468167.93,686,4756335,52878.38,33,159092,401.67,2,1730,2516.22,0,16395,781065,676,7.68,1668.69,58,2,3.45,32,55.17,24,41.38,0,0,stijnsaman,6,10,58,40,0,0,10.344827586206897,17.24137931034483,100,68.96551724137932,0,0,6,40,10.34,100,68.97,0,,,,
vrienden,0,32,39,0,32,466.91,54,2234,12.47,5,24,0.12,0,2,0.69,0,5,39,0,0,0,32,17,53.13,15,46.88,0,0,0,0,vrienden,23,22,25,2,0,0,71.875,68.75,78.125,6.25,0,0,23,2,71.88,78.13,6.25,0,3,3,3,1
enzoknol,135,21,1391792,20432411,21,1115482,260530,4028361,76249.52,17169,237949,839.1,157,5263,1173.67,143,4548,1391792,135,10.87,900.8,21,9,42.86,10,47.62,2,9.52,0,0,enzoknol,8,7,20,9,0,0,38.095238095238095,33.33333333333333,95.23809523809523,42.857142857142854,0,0,8,9,38.1,95.24,42.86,0,20,6830,94097,2878
touzani,6,20,24,41,20,87392.5,272,1422602,1759.75,3,30458,41.65,0,722,1163.55,0,21508,24,6,28.47,0,20,3,15,6,30,11,55,0,0,touzani,12,12,12,1,0,0,60,60,60,5,0,0,12,1,60,60,5,0,,,,
