channel_id,channel_title,Avg Comments Per Video,Avg Likes Per Video,Avg Views Per Video,Empty Fields,Subscriber Count,Subscribers,Video Count,Videos,Views,Views Per Subscriber,Views Per Video,avg_comments_per_video,max_comments_per_video,total_comments,total_likes
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,73525.4,8929960.06,249264516.92,,367000000,367000000,62,849,73784793417,201.04848342506813,86907883.88339223,24481.5,103728,734445,11388173
UC7_YxT-KID8kRbqZo7MyscQ,Markiplier,5344.74,158601.94,3056588.61,,37400000,37400000,122,5706,22306589548,596.4328756149732,3909321.6873466526,,,,
UCWsDFcIhY2DBi3GB5uykGXA,IShowSpeed,5988.28,223891.42,5806261.66,,36300000,36300000,178,1533,3594164820,99.01280495867769,2344530.2152641877,,,,
UCke6I9N4KfC968-yRcd5YRg,SSundee,2128.12,55028.22,2476156.51,,24700000,24700000,221,3706,16199669028,655.8570456680162,4371200.493254183,,,,
UCYzEMRKqrh01-tauv7MYyVQ,MSA previously My Story Animated,7498.91,160088.35,8403342.21,[keywords],23600000,23600000,78,937,11196773582,474.43955855932205,11949598.27321238,,,,
UCDogdKl7t7NHzQ95aEwkdMw,Sidemen,8156.96,285774.52,10211189.93,,22000000,22000000,56,401,6805932958,309.360589,16972401.391521197,,,,
UCiYcA0gJzg855iSKMrX3oHg,CoryxKenshin,154690.67,1197134.83,13468106.83,,21300000,21300000,6,1704,8450625879,396.7429990140845,4959287.487676056,,,,
UCo_IB5145EVNcf8hw1Kku7w,The Game Theorists,10895.6,184130.56,2803887.38,,19500000,19500000,82,758,4404787759,225.88655174358973,5811065.645118734,,,,
UC9rMiEjNaCSsebs31MRDCRA,Stray Kids,5569.13,331645.46,2772487.74,[keywords],19300000,19300000,386,1473,7000567706,362.72371533678756,4752591.789545146,,,,
UC5p_l5ZeB_wGjO_yDXwiqvw,TommyInnit,5137.27,92583.2,1238210.76,,15100000,15100000,49,507,2539554021,168.18238549668874,5008982.289940828,,,,
UCg3gzldyhCHJjY7AWWTNPPA,Sam and Colby,39676.09,426654.09,11461229.27,,13700000,13700000,11,355,2030845501,148.23689788321167,5720691.552112676,,,,
UCiWLfSweyRNmLpgEHekhoAg,ESPN,1332.12,50939.89,1585263.64,,13400000,13400000,499,90283,16542348924,1234.503651044776,183227.72752345403,,,,
UCxOzbkk0bdVl6-tH1Fcajfg,Beta Squad,6252.69,209233.97,7349728.52,,10400000,10400000,29,159,1473177024,141.65163692307692,9265264.301886793,,,,
UCfA5CSlYGseqSeOhsiiZTfw,Sturniolo Triplets,6381.68,109555,1968039.19,[keywords],7400000,7400000,75,367,761955102,102.96690567567568,2076171.9400544958,,,,
UCJbYdyufHR-cxOuY96KIoqA,AMP,6710.28,180290.2,5416835.48,,7090000,7090000,25,221,831032226,117.21187954866008,3760326.814479638,,,,
UCoEmptob-eEGKk18c2VplJg,Kai Cenat,13647.29,378953,9169681.71,[description],7030000,7030000,7,286,407067048,57.90427425320057,1423311.3566433566,,,,
UCh8bTHe4T8o7RIU7R5EPX-w,EnzoKnol,673.53,9887.33,417020.82,[keywords],2900000,2900000,247,6102,3604910989,1243.072754827586,590775.3177646673,,,,
UCK5Fn7Z6-iFMdxEye2FsKXg,StukTV,221.92,6560.34,213870.82,,2650000,2650000,182,1334,1618229454,610.6526241509434,1213065.5577211394,,,,
