"UserID","lives_in_area","lives_in_municipality"
1700002,"Rotterdam Centrum",NA
1701697,"Rotterdam Centrum",NA
1701710,"Rotterdam Centrum",NA
1703561,"Rotterdam Centrum",NA
1703974,"Rotterdam Centrum",NA
1704295,"Rotterdam Centrum",NA
1705875,"Rotterdam Centrum",NA
1707889,"Rotterdam Centrum",NA
1707988,"Rotterdam Centrum",NA
1700285,"Rotterdam Centrum",NA
1700844,"Rotterdam Centrum",NA
1702363,"Rotterdam Centrum",NA
1703269,"Rotterdam Centrum",NA
1703736,"Rotterdam Centrum",NA
1706002,"Rotterdam Centrum",NA
1707720,"Rotterdam Centrum",NA
1700212,"Delfshaven",NA
1700428,"Delfshaven",NA
1700730,"Delfshaven",NA
1700735,"Delfshaven",NA
1700884,"Delfshaven",NA
1700934,"Delfshaven",NA
1701102,"Delfshaven",NA
1701430,"Delfshaven",NA
1701601,"Delfshaven",NA
1701826,"Delfshaven",NA
1701911,"Delfshaven",NA
1702137,"Delfshaven",NA
1702196,"Delfshaven",NA
1702361,"Delfshaven",NA
1702691,"Delfshaven",NA
1702713,"Delfshaven",NA
1702743,"Delfshaven",NA
1703204,"Delfshaven",NA
1703244,"Delfshaven",NA
1703392,"Delfshaven",NA
1704340,"Delfshaven",NA
1704689,"Delfshaven",NA
1704953,"Delfshaven",NA
1705110,"Delfshaven",NA
1705253,"Delfshaven",NA
1705413,"Delfshaven",NA
1705694,"Delfshaven",NA
1705719,"Delfshaven",NA
1705906,"Delfshaven",NA
1706186,"Delfshaven",NA
1706295,"Delfshaven",NA
1706392,"Delfshaven",NA
1706444,"Delfshaven",NA
1706585,"Delfshaven",NA
1706717,"Delfshaven",NA
1707032,"Delfshaven",NA
1707245,"Delfshaven",NA
1707378,"Delfshaven",NA
1707402,"Delfshaven",NA
1708123,"Delfshaven",NA
1708396,"Delfshaven",NA
1708439,"Delfshaven",NA
1708477,"Delfshaven",NA
1700605,"Delfshaven",NA
1701366,"Delfshaven",NA
1701439,"Delfshaven",NA
1701584,"Delfshaven",NA
1701704,"Delfshaven",NA
1701716,"Delfshaven",NA
1701951,"Delfshaven",NA
1702176,"Delfshaven",NA
1702533,"Delfshaven",NA
1702975,"Delfshaven",NA
1703212,"Delfshaven",NA
1703433,"Delfshaven",NA
1703770,"Delfshaven",NA
1704585,"Delfshaven",NA
1705267,"Delfshaven",NA
1705849,"Delfshaven",NA
1707759,"Delfshaven",NA
1708068,"Delfshaven",NA
1707330,"Delfshaven",NA
1700153,"Overschie",NA
1700245,"Hillegersberg-Schiebroek",NA
1700319,"Overschie",NA
1701049,"Overschie",NA
1701079,"Overschie",NA
1701527,"Overschie",NA
1701674,"Hillegersberg-Schiebroek",NA
1701833,"Hillegersberg-Schiebroek",NA
1701990,"Overschie",NA
1702031,"Overschie",NA
1702116,"Overschie",NA
1702233,"Overschie",NA
1702380,"Overschie",NA
1702805,"Hillegersberg-Schiebroek",NA
1703114,"Hillegersberg-Schiebroek",NA
1703344,"Hillegersberg-Schiebroek",NA
1703347,"Hillegersberg-Schiebroek",NA
1703400,"Overschie",NA
1703483,"Overschie",NA
1704577,"Overschie",NA
1704740,"Overschie",NA
1705297,"Hillegersberg-Schiebroek",NA
1706227,"Hillegersberg-Schiebroek",NA
1706549,"Overschie",NA
1707137,"Overschie",NA
1707881,"Overschie",NA
1700262,"Overschie",NA
1700811,"Overschie",NA
1701005,"Overschie",NA
1701065,"Overschie",NA
1701152,"Overschie",NA
1701886,"Overschie",NA
1702272,"Overschie",NA
1703235,"Overschie",NA
1703530,"Overschie",NA
1703577,"Hillegersberg-Schiebroek",NA
1704453,"Overschie",NA
1705935,"Hillegersberg-Schiebroek",NA
1706129,"Hillegersberg-Schiebroek",NA
1706475,"Overschie",NA
1706911,"Overschie",NA
1707478,"Hillegersberg-Schiebroek",NA
1708236,"Overschie",NA
1700191,"Noord",NA
1700263,"Noord",NA
1700291,"Noord",NA
1700738,"Noord",NA
1700767,"Noord",NA
1700880,"Noord",NA
1700904,"Noord",NA
1701104,"Noord",NA
1701108,"Noord",NA
1701147,"Noord",NA
1701263,"Noord",NA
1701424,"Noord",NA
1701464,"Noord",NA
1701721,"Noord",NA
1701878,"Noord",NA
1702225,"Noord",NA
1702586,"Noord",NA
1702814,"Noord",NA
1703220,"Noord",NA
1703393,"Noord",NA
1704016,"Noord",NA
1704951,"Noord",NA
1705152,"Noord",NA
1705801,"Noord",NA
1706001,"Noord",NA
1706793,"Noord",NA
1706810,"Noord",NA
1706902,"Noord",NA
1707122,"Noord",NA
1707440,"Noord",NA
1708065,"Noord",NA
1708220,"Noord",NA
1708395,"Noord",NA
1700000,"Noord",NA
1700621,"Noord",NA
1700812,"Noord",NA
1701038,"Noord",NA
1701161,"Noord",NA
1701166,"Noord",NA
1702211,"Noord",NA
1702983,"Noord",NA
1703254,"Noord",NA
1703775,"Noord",NA
1703786,"Noord",NA
1704104,"Noord",NA
1704256,"Noord",NA
1704506,"Noord",NA
1704559,"Noord",NA
1704587,"Noord",NA
1705917,"Noord",NA
1706015,"Noord",NA
1706124,"Noord",NA
1706204,"Noord",NA
1706664,"Noord",NA
1706742,"Noord",NA
1707118,"Noord",NA
1707261,"Noord",NA
1707501,"Noord",NA
1707685,"Noord",NA
1707919,"Noord",NA
1708030,"Noord",NA
1708341,"Noord",NA
1703076,"Noord",NA
1703839,"Noord",NA
1707093,"Noord",NA
1700385,"Hillegersberg-Schiebroek",NA
1700457,"Hillegersberg-Schiebroek",NA
1700524,"Hillegersberg-Schiebroek",NA
1700953,"Hillegersberg-Schiebroek",NA
1701679,"Hillegersberg-Schiebroek",NA
1701740,"Hillegersberg-Schiebroek",NA
1702423,"Hillegersberg-Schiebroek",NA
1702682,"Hillegersberg-Schiebroek",NA
1702769,"Hillegersberg-Schiebroek",NA
1702779,"Hillegersberg-Schiebroek",NA
1703012,"Hillegersberg-Schiebroek",NA
1703256,"Hillegersberg-Schiebroek",NA
1703471,"Hillegersberg-Schiebroek",NA
1703565,"Hillegersberg-Schiebroek",NA
1703805,"Hillegersberg-Schiebroek",NA
1704036,"Hillegersberg-Schiebroek",NA
1704266,"Hillegersberg-Schiebroek",NA
1704531,"Hillegersberg-Schiebroek",NA
1704578,"Hillegersberg-Schiebroek",NA
1704606,"Hillegersberg-Schiebroek",NA
1704709,"Hillegersberg-Schiebroek",NA
1704774,"Hillegersberg-Schiebroek",NA
1705048,"Hillegersberg-Schiebroek",NA
1705095,"Hillegersberg-Schiebroek",NA
1705359,"Hillegersberg-Schiebroek",NA
1705449,"Hillegersberg-Schiebroek",NA
1705531,"Hillegersberg-Schiebroek",NA
1705648,"Hillegersberg-Schiebroek",NA
1705933,"Hillegersberg-Schiebroek",NA
1705963,"Hillegersberg-Schiebroek",NA
1706018,"Hillegersberg-Schiebroek",NA
1706024,"Hillegersberg-Schiebroek",NA
1706459,"Hillegersberg-Schiebroek",NA
1707955,"Hillegersberg-Schiebroek",NA
1708029,"Hillegersberg-Schiebroek",NA
1708091,"Hillegersberg-Schiebroek",NA
1708121,"Hillegersberg-Schiebroek",NA
1708126,"Hillegersberg-Schiebroek",NA
1708214,"Hillegersberg-Schiebroek",NA
1708471,"Hillegersberg-Schiebroek",NA
1700322,"Hillegersberg-Schiebroek",NA
1700472,"Hillegersberg-Schiebroek",NA
1700619,"Hillegersberg-Schiebroek",NA
1700815,"Hillegersberg-Schiebroek",NA
1700827,"Hillegersberg-Schiebroek",NA
1701252,"Hillegersberg-Schiebroek",NA
1701352,"Hillegersberg-Schiebroek",NA
1701538,"Hillegersberg-Schiebroek",NA
1702035,"Hillegersberg-Schiebroek",NA
1702119,"Hillegersberg-Schiebroek",NA
1702276,"Hillegersberg-Schiebroek",NA
1702429,"Hillegersberg-Schiebroek",NA
1702453,"Hillegersberg-Schiebroek",NA
1702827,"Hillegersberg-Schiebroek",NA
1703247,"Hillegersberg-Schiebroek",NA
1703563,"Hillegersberg-Schiebroek",NA
1703585,"Hillegersberg-Schiebroek",NA
