"UserID","age","gender","school_year","education_type4","smoking_frequency","vaping_frequency","cannabis_days","online_gambling","drunk_lifetime","ever_used_laughing_gas","ever_used_other_drugs","breakfast_days","energy_drink_days","fruit_days","vegetable_days","water_days","sports_club","sports_leisure","gaming_frequency","friends_alcohol","friends_smoking","friends_cannabis","school_safety","school_theft","school_cannabis","school_drug_dealing","feels_happy","future_confidence_categories","handles_stress_well","has_mental_health_issues","often_lonely","recovers_quickly","tiktok_use","youtube_use","instagram_account1","instagram_account2","instagram_account3","tiktok_account1","tiktok_account2","tiktok_account3","youtube_account1","youtube_account2","youtube_account3","inf_category_content_creator___influencer","inf_category_brand___media_channel","inf_category_music_artist","inf_category_athlete___influencer","inf_theme_lifestyle___personal","inf_theme_comedy___entertainment","inf_theme_sports___football","inf_theme_fashion___beauty","inf_theme_music___performance","inf_theme_gaming","inf_theme_news___commentary","inf_theme_entertainment___stunts","inf_theme_fitness___health","inf_theme_business","inf_scope_other","inf_scope_netherlands","inf_scope_rotterdam_region"
1700002,"13 years old",2,2,"Havo","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Every Day","(Almost) never","6 days per week","6 days per week","Every day","Every day","Every day","2 or 3 days per week","None","None","None","Agree","Sometimes","Often","Sometimes","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","Yes, does not find it difficult","No","(Almost) never / Sometimes","Yes",2,2,NA,NA,NA,"football4u","ronaldo","mbappe","enzoknol","jeugdjournaal","voetball filpjes",16.6666666666667,16.6666666666667,0,16.6666666666667,16.6666666666667,0,8.33333333333333,0,0,8.33333333333333,16.6666666666667,0,0,0,16.6666666666667,33.3333333333333,0
1701697,"16 years old",2,4,"Vmbo-bk","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Every Day","(Almost) never","4 days per week","4 days per week","Every day","4 to 6 days per week","2 or 3 days per week","(Almost) every day","Some","None","None","Agree","Never","Sometimes","Never","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","Yes, does not find it difficult","Yes","(Almost) never / Sometimes","Yes",3,3,"cristiano ronaldo","kosso","canelo","daznboxing","Mrbeast",NA,"Qucee","Don",NA,42.8571428571429,0,0,0,14.2857142857143,14.2857142857143,0,0,0,0,0,14.2857142857143,0,0,14.2857142857143,14.2857142857143,14.2857142857143
1701710,"14 years old",2,4,"Vmbo-gt","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Every Day","(Almost) never","5 days per week","5 days per week","Not Every Day","(Almost) never","2 or 3 days per week","2 or 3 days per week","None","None","None","Neither agree nor disagree","I don't know","I don't know","I don't know","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","Yes, does not find it difficult","No","(Almost) never / Sometimes","Yes",2,1,NA,NA,NA,"qucee","rico","supergaande",NA,NA,NA,66.6666666666667,0,0,0,16.6666666666667,50,0,0,0,0,0,0,0,0,0,0,66.6666666666667
1703561,"13 years old",2,2,"Havo","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Every Day","(Almost) never","Every day","4 days per week","Every day","2 or 3 days per week","2 or 3 days per week","(Almost) every day","None","None","None","Strongly agree","Never","Never","Never","Yes (score 4 or 5)","Moderate/fair trust in their own future (score 6 or 7)","Yes, does not find it difficult","No","(Almost) never / Sometimes","Yes",3,3,"chatmo","kleine john","charbon","ilias vieto",NA,NA,NA,NA,NA,75,0,25,0,0,87.5,0,0,12.5,0,0,0,0,0,0,100,0
1703974,"13 years old",2,2,"Vmbo-bk","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Every Day","(Almost) never","Every day","Every day","Every day","2 or 3 days per week","4 to 6 days per week","4 or 5 days per week","None","None","None","Agree","I don't know","I don't know","Never","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","No, finds it difficult / neutral","No","(Almost) never / Sometimes","Yes",0,3,NA,NA,NA,NA,NA,NA,"geen","geen",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1704295,"13 years old",2,2,"Vmbo-bk","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Every Day","At least Once a Week","3 days per week","Every day","Every day","4 to 6 days per week","Less than 1 day per week","Less than 1 day per week","None","None","None","Agree","Sometimes","Often","I don't know","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","Yes, does not find it difficult","No","(Almost) never / Sometimes","Yes",3,2,"@cestmocro","@touzani","@jawadssoufi","@touzani","@ISAE","@kingAlmightiyyy","@Jack Dothery","@TOUZANI TV","@NOS jeugdjournaal",11.1111111111111,0,0,11.1111111111111,0,11.1111111111111,11.1111111111111,0,0,0,0,0,0,0,0,11.1111111111111,11.1111111111111
1705875,"15 years old",2,4,"Vmbo-bk","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Not Every Day","At least Once a Week","Every day","3 days per week","Every day","4 to 6 days per week","2 or 3 days per week","4 or 5 days per week","None","Some","Some","Agree","Never","Never","Never","No, feels (very) unhappy or neutral (score 1, 2, or 3)","Moderate/fair trust in their own future (score 6 or 7)","Yes, does not find it difficult","No","(Almost) never / Sometimes","Yes",3,2,"Ronaldo","Messi","Glory",NA,NA,NA,NA,NA,NA,0,0,0,33.3333333333333,16.6666666666667,0,16.6666666666667,0,0,0,0,0,0,0,33.3333333333333,0,0
1707889,"14 years old",2,2,"Vmbo-bk","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Not Every Day","(Almost) never","3 days per week","6 days per week","Not Every Day","4 to 6 days per week","(Almost) never","(Almost) every day","None","Some","None","Agree","Sometimes","Often","Never","Yes (score 4 or 5)"," (Very) high trust in their own future (score 8 or higher)","Yes, does not find it difficult","No","(Almost) never / Sometimes","No / Neutral",3,3,NA,NA,NA,"Blacks we trust"," AD vnoord",NA,"cooper","Faze sway","bugha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707988,"16 years old",2,4,"Vmbo-gt","Never Smoked","Never Vaped","Never Used Cannabis","No","Never Drunk","Never Used Laughing Gas","No","Every Day","(Almost) never","Every day","Every day","Every day","(Almost) never","2 or 3 days per week","(Almost) every day","Some","None","None","Agree","Sometimes","Sometimes","Never","Yes (score 4 or 5)","Moderate/fair trust in their own future (score 6 or 7)","No, finds it difficult / neutral","No","(Almost) never / Sometimes","No / Neutral",0,3,"Mr beast",NA,NA,NA,NA,NA,"Mr beast","Glmm",NA,33.3333333333333,0,0,0,0,0,0,0,0,0,0,33.3333333333333,0,0,33.3333333333333,0,0
1700285,"13 years old",1,2,"Havo","Never Smoked","Never Vaped","Never Used Cannabis","Yes but not for money","Never Drunk","Never Used Laughing Gas","No","Not Every Day","(Almost) never","4 days per week","6 days per week","Not Every Day","(Almost) never","1 day per week","2 or 3 days per week","Some","None","None","Agree","Sometimes","I don't know","I don't know","No, feels (very) unhappy or neutral (score 1, 2, or 3)","Little to no trust in their own future (score 5 or lower)","No, finds it difficult / neutral","Yes","Often / (Almost) always","Yes",3,2,NA,NA,NA,"Nicolassturniolo","Christophersturniolo","Mattsturniolo","sturniolotriplets","The norris nuts","lexi rivera",33.3333333333333,0,0,0,8.33333333333333,16.6666666666667,0,0,0,0,0,8.33333333333333,0,0,33.3333333333333,0,0
